Stagione,Posizione,Squadra,Punteggio,PPG,Giocate,Vittorie,Pareggi,Sconfitte,GF,GS,GD,Anno
1992/93,1,Manchester Utd.,84,2.0,42,24,12,6,67,31,36,1992
1992/93,2,Aston Villa,74,1.76,42,21,11,10,57,40,17,1992
1992/93,3,Norwich,72,1.71,42,21,9,12,61,65,-4,1992
1992/93,4,Blackburn,71,1.69,42,20,11,11,68,46,22,1992
1992/93,5,QPR,63,1.5,42,17,12,13,63,55,8,1992
1992/93,6,Liverpool,59,1.4,42,16,11,15,62,55,7,1992
1992/93,7,Sheff Wed,59,1.4,42,15,14,13,55,51,4,1992
1992/93,8,Tottenham,59,1.4,42,16,11,15,60,66,-6,1992
1992/93,9,Manchester City,57,1.36,42,15,12,15,56,51,5,1992
1992/93,10,Arsenal,56,1.33,42,15,11,16,40,38,2,1992
1992/93,11,Chelsea,56,1.33,42,14,14,14,51,54,-3,1992
1992/93,12,Wimbledon FC,54,1.29,42,14,12,16,56,55,1,1992
1992/93,13,Everton,53,1.26,42,15,8,19,53,55,-2,1992
1992/93,14,Sheff Utd,52,1.24,42,14,10,18,54,53,1,1992
1992/93,15,Coventry City,52,1.24,42,13,13,16,52,57,-5,1992
1992/93,16,Ipswich,52,1.24,42,12,16,14,50,55,-5,1992
1992/93,17,Leeds,51,1.21,42,12,15,15,57,62,-5,1992
1992/93,18,Southampton,50,1.19,42,13,11,18,54,61,-7,1992
1992/93,19,Oldham Athletic,49,1.17,42,13,10,19,63,74,-11,1992
1992/93,20,Crystal Palace,49,1.17,42,11,16,15,48,61,-13,1992
1992/93,21,Middlesbrough,44,1.05,42,11,11,20,54,75,-21,1992
1992/93,22,Nottm Forest,40,0.95,42,10,10,22,41,62,-21,1992
1993/94,1,Manchester Utd.,92,2.19,42,27,11,4,80,38,42,1993
1993/94,2,Blackburn,84,2.0,42,25,9,8,63,36,27,1993
1993/94,3,Newcastle Utd.,77,1.83,42,23,8,11,82,41,41,1993
1993/94,4,Arsenal,71,1.69,42,18,17,7,53,28,25,1993
1993/94,5,Leeds,70,1.67,42,18,16,8,65,39,26,1993
1993/94,6,Wimbledon FC,65,1.55,42,18,11,13,56,53,3,1993
1993/94,7,Sheff Wed,64,1.52,42,16,16,10,76,54,22,1993
1993/94,8,Liverpool,60,1.43,42,17,9,16,59,55,4,1993
1993/94,9,QPR,60,1.43,42,16,12,14,62,61,1,1993
1993/94,10,Aston Villa,57,1.36,42,15,12,15,46,50,-4,1993
1993/94,11,Coventry City,56,1.33,42,14,14,14,43,45,-2,1993
1993/94,12,Norwich,53,1.26,42,12,17,13,65,61,4,1993
1993/94,13,West Ham Utd.,52,1.24,42,13,13,16,47,58,-11,1993
1993/94,14,Chelsea,51,1.21,42,13,12,17,49,53,-4,1993
1993/94,15,Tottenham,45,1.07,42,11,12,19,54,59,-5,1993
1993/94,16,Manchester City,45,1.07,42,9,18,15,38,49,-11,1993
1993/94,17,Everton,44,1.05,42,12,8,22,42,63,-21,1993
1993/94,18,Southampton,43,1.02,42,12,7,23,49,66,-17,1993
1993/94,19,Ipswich,43,1.02,42,9,16,17,35,58,-23,1993
1993/94,20,Sheff Utd,42,1.0,42,8,18,16,42,60,-18,1993
1993/94,21,Oldham Athletic,40,0.95,42,9,13,20,42,68,-26,1993
1993/94,22,Swindon Town,30,0.71,42,5,15,22,47,100,-53,1993
1994/95,1,Blackburn,89,2.12,42,27,8,7,80,39,41,1994
1994/95,2,Manchester Utd.,88,2.1,42,26,10,6,77,28,49,1994
1994/95,3,Nottm Forest,77,1.83,42,22,11,9,72,43,29,1994
1994/95,4,Liverpool,74,1.76,42,21,11,10,65,37,28,1994
1994/95,5,Leeds,73,1.74,42,20,13,9,59,38,21,1994
1994/95,6,Newcastle Utd.,72,1.71,42,20,12,10,67,47,20,1994
1994/95,7,Tottenham,62,1.48,42,16,14,12,66,58,8,1994
1994/95,8,QPR,60,1.43,42,17,9,16,61,59,2,1994
1994/95,9,Wimbledon FC,56,1.33,42,15,11,16,48,65,-17,1994
1994/95,10,Southampton,54,1.29,42,12,18,12,61,63,-2,1994
1994/95,11,Chelsea,54,1.29,42,13,15,14,50,55,-5,1994
1994/95,12,Arsenal,51,1.21,42,13,12,17,52,49,3,1994
1994/95,13,Sheff Wed,51,1.21,42,13,12,17,49,57,-8,1994
1994/95,14,West Ham Utd.,50,1.19,42,13,11,18,44,48,-4,1994
1994/95,15,Everton,50,1.19,42,11,17,14,44,51,-7,1994
1994/95,16,Coventry City,50,1.19,42,12,14,16,44,62,-18,1994
1994/95,17,Manchester City,49,1.17,42,12,13,17,53,64,-11,1994
1994/95,18,Aston Villa,48,1.14,42,11,15,16,51,56,-5,1994
1994/95,19,Crystal Palace,45,1.07,42,11,12,19,34,49,-15,1994
1994/95,20,Norwich,43,1.02,42,10,13,19,37,54,-17,1994
1994/95,21,Leicester City,29,0.69,42,6,11,25,45,80,-35,1994
1994/95,22,Ipswich,27,0.64,42,7,6,29,36,93,-57,1994
1995/96,1,Manchester Utd.,82,2.16,38,25,7,6,73,35,38,1995
1995/96,2,Newcastle Utd.,78,2.05,38,24,6,8,66,37,29,1995
1995/96,3,Liverpool,71,1.87,38,20,11,7,70,34,36,1995
1995/96,4,Aston Villa,63,1.66,38,18,9,11,52,35,17,1995
1995/96,5,Arsenal,63,1.66,38,17,12,9,49,32,17,1995
1995/96,6,Everton,61,1.61,38,17,10,11,64,44,20,1995
1995/96,7,Blackburn,61,1.61,38,18,7,13,61,47,14,1995
1995/96,8,Tottenham,61,1.61,38,16,13,9,50,38,12,1995
1995/96,9,Nottm Forest,58,1.53,38,15,13,10,50,54,-4,1995
1995/96,10,West Ham Utd.,51,1.34,38,14,9,15,43,52,-9,1995
1995/96,11,Chelsea,50,1.32,38,12,14,12,46,44,2,1995
1995/96,12,Middlesbrough,43,1.13,38,11,10,17,35,50,-15,1995
1995/96,13,Leeds,43,1.13,38,12,7,19,40,57,-17,1995
1995/96,14,Wimbledon FC,41,1.08,38,10,11,17,55,70,-15,1995
1995/96,15,Sheff Wed,40,1.05,38,10,10,18,48,61,-13,1995
1995/96,16,Coventry City,38,1.0,38,8,14,16,42,60,-18,1995
1995/96,17,Southampton,38,1.0,38,9,11,18,34,52,-18,1995
1995/96,18,Manchester City,38,1.0,38,9,11,18,33,58,-25,1995
1995/96,19,QPR,33,0.87,38,9,6,23,38,57,-19,1995
1995/96,20,Bolton,29,0.76,38,8,5,25,39,71,-32,1995
1996/97,1,Manchester Utd.,75,1.97,38,21,12,5,76,44,32,1996
1996/97,2,Newcastle Utd.,68,1.79,38,19,11,8,73,40,33,1996
1996/97,3,Arsenal,68,1.79,38,19,11,8,62,32,30,1996
1996/97,4,Liverpool,68,1.79,38,19,11,8,62,37,25,1996
1996/97,5,Aston Villa,61,1.61,38,17,10,11,47,34,13,1996
1996/97,6,Chelsea,59,1.55,38,16,11,11,58,55,3,1996
1996/97,7,Sheff Wed,57,1.5,38,14,15,9,50,51,-1,1996
1996/97,8,Wimbledon FC,56,1.47,38,15,11,12,49,46,3,1996
1996/97,9,Leicester City,47,1.24,38,12,11,15,46,54,-8,1996
1996/97,10,Tottenham,46,1.21,38,13,7,18,44,51,-7,1996
1996/97,11,Leeds,46,1.21,38,11,13,14,28,38,-10,1996
1996/97,12,Derby,46,1.21,38,11,13,14,45,58,-13,1996
1996/97,13,Blackburn,42,1.11,38,9,15,14,42,43,-1,1996
1996/97,14,West Ham Utd.,42,1.11,38,10,12,16,39,48,-9,1996
1996/97,15,Everton,42,1.11,38,10,12,16,44,57,-13,1996
1996/97,16,Southampton,41,1.08,38,10,11,17,50,56,-6,1996
1996/97,17,Coventry City,41,1.08,38,9,14,15,38,54,-16,1996
1996/97,18,Sunderland,40,1.05,38,10,10,18,35,53,-18,1996
1996/97,19,Middlesbrough,39,1.03,38,10,12,16,51,60,-9,1996
1996/97,20,Nottm Forest,34,0.89,38,6,16,16,31,59,-28,1996
1997/98,1,Arsenal,78,2.05,38,23,9,6,68,33,35,1997
1997/98,2,Manchester Utd.,77,2.03,38,23,8,7,73,26,47,1997
1997/98,3,Liverpool,65,1.71,38,18,11,9,68,42,26,1997
1997/98,4,Chelsea,63,1.66,38,20,3,15,71,43,28,1997
1997/98,5,Leeds,59,1.55,38,17,8,13,57,46,11,1997
1997/98,6,Blackburn,58,1.53,38,16,10,12,57,52,5,1997
1997/98,7,Aston Villa,57,1.5,38,17,6,15,49,48,1,1997
1997/98,8,West Ham Utd.,56,1.47,38,16,8,14,56,57,-1,1997
1997/98,9,Derby,55,1.45,38,16,7,15,52,49,3,1997
1997/98,10,Leicester City,53,1.39,38,13,14,11,51,41,10,1997
1997/98,11,Coventry City,52,1.37,38,12,16,10,46,44,2,1997
1997/98,12,Southampton,48,1.26,38,14,6,18,50,55,-5,1997
1997/98,13,Newcastle Utd.,44,1.16,38,11,11,16,35,44,-9,1997
1997/98,14,Tottenham,44,1.16,38,11,11,16,44,56,-12,1997
1997/98,15,Wimbledon FC,44,1.16,38,10,14,14,34,46,-12,1997
1997/98,16,Sheff Wed,44,1.16,38,12,8,18,52,67,-15,1997
1997/98,17,Everton,40,1.05,38,9,13,16,41,56,-15,1997
1997/98,18,Bolton,40,1.05,38,9,13,16,41,61,-20,1997
1997/98,19,Barnsley FC,35,0.92,38,10,5,23,37,82,-45,1997
1997/98,20,Crystal Palace,33,0.87,38,8,9,21,37,71,-34,1997
1998/99,1,Manchester Utd.,79,2.08,38,22,13,3,80,37,43,1998
1998/99,2,Arsenal,78,2.05,38,22,12,4,59,17,42,1998
1998/99,3,Chelsea,75,1.97,38,20,15,3,57,30,27,1998
1998/99,4,Leeds,67,1.76,38,18,13,7,62,34,28,1998
1998/99,5,West Ham Utd.,57,1.5,38,16,9,13,46,53,-7,1998
1998/99,6,Aston Villa,55,1.45,38,15,10,13,51,46,5,1998
1998/99,7,Liverpool,54,1.42,38,15,9,14,68,49,19,1998
1998/99,8,Derby,52,1.37,38,13,13,12,40,45,-5,1998
1998/99,9,Middlesbrough,51,1.34,38,12,15,11,48,54,-6,1998
1998/99,10,Leicester City,49,1.29,38,12,13,13,40,46,-6,1998
1998/99,11,Tottenham,47,1.24,38,11,14,13,47,50,-3,1998
1998/99,12,Sheff Wed,46,1.21,38,13,7,18,41,42,-1,1998
1998/99,13,Newcastle Utd.,46,1.21,38,11,13,14,48,54,-6,1998
1998/99,14,Everton,43,1.13,38,11,10,17,42,47,-5,1998
1998/99,15,Coventry City,42,1.11,38,11,9,18,39,51,-12,1998
1998/99,16,Wimbledon FC,42,1.11,38,10,12,16,40,63,-23,1998
1998/99,17,Southampton,41,1.08,38,11,8,19,37,64,-27,1998
1998/99,18,Charlton,36,0.95,38,8,12,18,41,56,-15,1998
1998/99,19,Blackburn,35,0.92,38,7,14,17,38,52,-14,1998
1998/99,20,Nottm Forest,30,0.79,38,7,9,22,35,69,-34,1998
1999/00,1,Manchester Utd.,91,2.39,38,28,7,3,97,45,52,1999
1999/00,2,Arsenal,73,1.92,38,22,7,9,73,43,30,1999
1999/00,3,Leeds,69,1.82,38,21,6,11,58,43,15,1999
1999/00,4,Liverpool,67,1.76,38,19,10,9,51,30,21,1999
1999/00,5,Chelsea,65,1.71,38,18,11,9,53,34,19,1999
1999/00,6,Aston Villa,58,1.53,38,15,13,10,46,35,11,1999
1999/00,7,Sunderland,58,1.53,38,16,10,12,57,56,1,1999
1999/00,8,Leicester City,55,1.45,38,16,7,15,55,55,0,1999
1999/00,9,West Ham Utd.,55,1.45,38,15,10,13,52,53,-1,1999
1999/00,10,Tottenham,53,1.39,38,15,8,15,57,49,8,1999
1999/00,11,Newcastle Utd.,52,1.37,38,14,10,14,63,54,9,1999
1999/00,12,Middlesbrough,52,1.37,38,14,10,14,46,52,-6,1999
1999/00,13,Everton,50,1.32,38,12,14,12,59,49,10,1999
1999/00,14,Coventry City,44,1.16,38,12,8,18,47,54,-7,1999
1999/00,15,Southampton,44,1.16,38,12,8,18,45,62,-17,1999
1999/00,16,Derby,38,1.0,38,9,11,18,44,57,-13,1999
1999/00,17,Bradford,36,0.95,38,9,9,20,38,68,-30,1999
1999/00,18,Wimbledon FC,33,0.87,38,7,12,19,46,74,-28,1999
1999/00,19,Sheff Wed,31,0.82,38,8,7,23,38,70,-32,1999
1999/00,20,Watford,24,0.63,38,6,6,26,35,77,-42,1999
2000/01,1,Manchester Utd.,80,2.11,38,24,8,6,79,31,48,2000
2000/01,2,Arsenal,70,1.84,38,20,10,8,63,38,25,2000
2000/01,3,Liverpool,69,1.82,38,20,9,9,71,39,32,2000
2000/01,4,Leeds,68,1.79,38,20,8,10,64,43,21,2000
2000/01,5,Ipswich,66,1.74,38,20,6,12,57,42,15,2000
2000/01,6,Chelsea,61,1.61,38,17,10,11,68,45,23,2000
2000/01,7,Sunderland,57,1.5,38,15,12,11,46,41,5,2000
2000/01,8,Aston Villa,54,1.42,38,13,15,10,46,43,3,2000
2000/01,9,Charlton,52,1.37,38,14,10,14,50,57,-7,2000
