Record,Squadra,Stagione,Valore
TITOLO CON PIÙ PUNTI,Manchester City,2017/18,100.0
MIGLIOR PPG,Manchester City,2017/18,2.63
TITOLO CON PIÙ VITTORIE,Manchester City,2017/18,32.0
TITOLO CON MENO SCONFITTE,FC Arsenal,2003/04,0.0
TITOLO CON PIÙ GF,Manchester City,2017/18,106.0
TITOLO CON MIGLIOR GD,Manchester City,2017/18,79.0
TITOLO CON MENO PUNTI,Manchester United,1996/97,75.0
PEGGIOR PPG,Manchester United,1996/97,1.97
TITOLO CON MENO VITTORIE,Manchester United,1996/97,21.0
TITOLO CON PIÙ SCONFITTE,Blackburn Rovers,1994/95,7.0
TITOLO CON MENO GF,Manchester United,1992/93,67.0
TITOLO CON PEGGIOR GD,Chelsea FC,2014/15,31.0
NON TITOLO CON PIÙ PUNTI,Liverpool,2018/19,97.0
MIGLIOR PPG SENZA TITOLO,Liverpool,2018/19,2.55
NON TITOLO CON PIÙ VITTORIE,Liverpool,2018/19,30.0
NON TITOLO CON MENO SCONFITTE,Liverpool,2018/19,1.0
NON TITOLO CON PIÙ GF,Manchester City,2019/20,102.0
NON TITOLO CON MIGLIOR GD,Liverpool,2021/22,68.0
SQUADRA PIÙ VECCHIA,Bradford City,2000/01,30.0
SQUADRA PIÙ GIOVANE,FC Arsenal,2008/09,23.7
VINCITRICE PIÙ VECCHIA,Chelsea FC,2009/10,28.2
VINCITRICE PIÙ GIOVANE,Chelsea FC,2004/05,25.0
MIGLIOR CAPOCANNONIERE,Manchester City,2022/23,35.0
PEGGIOR CAPOCANNONIERE,Coventry City,1997/98,18.0
SQUADRA MAGGIOR VOLTE CON CAPOCANNONIERE,Manchester United,-,5.0
